iter	Passed	Remaining
368	962	1645
369	964	1642
370	967	1640
371	969	1636
372	970	1632
373	972	1627
374	974	1624
375	977	1621
376	979	1618
377	981	1614
378	982	1610
379	984	1606
380	986	1602
381	988	1599
382	990	1595
383	993	1593
384	995	1590
385	997	1586
386	998	1582
387	1000	1578
388	1002	1573
389	1004	1571
390	1008	1570
391	1010	1566
392	1012	1563
393	1013	1559
394	1015	1555
395	1017	1551
396	1020	1550
397	1023	1548
398	1025	1545
399	1027	1541
400	1029	1537
401	1031	1534
402	1033	1530
403	1035	1527
404	1037	1524
405	1039	1520
406	1041	1517
407	1043	1513
408	1045	1510
409	1047	1506
410	1050	1505
411	1054	1504
412	1056	1502
413	1060	1500
414	1061	1496
415	1065	1496
416	1069	1495
417	1071	1492
418	1074	1490
419	1076	1486
420	1080	1486
421	1084	1485
422	1088	1484
423	1089	1480
424	1092	1478
425	1101	1483
426	1105	1483
427	1108	1481
428	1112	1480
429	1116	1479
430	1118	1476
431	1120	1473
432	1122	1469
433	1124	1466
434	1128	1465
435	1131	1463
436	1133	1460
437	1135	1456
438	1136	1452
439	1138	1449
440	1142	1447
441	1146	1447
442	1148	1443
443	1150	1440
444	1152	1436
445	1153	1433
